Knight,14,4,,
SignDown,5,4,,
SignRight,5,8,,
SignDown,10,8,,
Chest,10,9,,
Trap,5,9,1,
Trap,6,9,0,
Trap,7,9,1,
Trap,8,9,1,
Trap,9,9,1,
Trap,4,9,1,
Trap,4,8,1,
Trap,5,7,0,
Trap,4,7,0,
Trap,6,8,0,
Trap,6,7,1,
Trap,7,8,1,
Trap,8,8,0,
Trap,8,7,1,
Trap,9,8,1,
Trap,3,9,0,
Trap,3,8,1,
Trap,3,7,1,
Trap,3,6,1,
Trap,4,6,0,
Trap,5,6,1,
Trap,6,6,1,
Trap,10,7,0,
Trap,9,7,1,
Trap,11,9,1,
Trap,11,8,0,
Trap,11,7,1,
Trap,12,7,1,
Trap,13,7,0,
Trap,12,8,1,
Trap,13,8,0,
Trap,14,7,1,
Trap,12,9,0,
Trap,13,9,1,
Trap,7,6,0,
Trap,8,6,1,
Trap,9,6,0,
Trap,10,6,1,
Trap,11,6,1,
Trap,12,6,0,
Trap,13,6,1,
Trap,14,6,0,
Trap,3,3,1,
Trap,3,5,0,
Trap,14,9,1,
WallMaker,14,2,3,2,
WallMaker,3,2,14,2,
WallMaker,2,3,2,9,
WallMaker,2,9,2,3,
WallMaker,3,10,14,10,
WallMaker,14,10,3,10,
Trap,4,5,1,
Trap,4,4,0,
Trap,4,3,0,
Trap,5,5,0,
Trap,5,3,1,
Trap,6,5,0,
Trap,9,5,1,
Trap,8,5,1,
Trap,14,5,0,
Trap,13,5,1,
Trap,12,5,1,
Trap,11,5,0,
Trap,6,4,0,
Trap,6,3,1,
Trap,14,3,1,
Trap,13,3,1,
Trap,13,4,1,
Trap,12,3,1,
Trap,7,3,0,
Trap,7,4,1,
Trap,8,4,0,
Trap,8,3,1,
Trap,9,3,1,
Trap,10,4,0,
Trap,11,4,1,
Trap,10,3,1,
Trap,11,3,1,
Trap,12,4,0,
SignUp,7,7,,
SignRight,7,5,,
SignLeft,10,5,,
SignUp,3,4,,
SignUp,14,8,,
SignLeft,9,4,,
