Portal,11,7,7,3
Portal,7,3,11,7
Portal,8,9,3,5
Portal,3,5,8,9
Portal,4,5,14,1
Portal,14,1,4,5
Portal,4,4,6,7
Portal,6,7,4,4
Knight,14,5
SignLeft,12,7
SignDown,6,3
SignRight,6,6
SignDown,8,6
SignLeft,3,8
SignUp,1,8
Chest,1,1
Portal,8,5,9,2
Portal,9,2,8,5
Portal,12,3,13,8
Portal,13,8,12,3
WallMaker,10,10,10,1
WallMaker,10,1,10,10
WallMaker,5,1,5,10
WallMaker,5,10,5,1
Portal,9,7,4,1
Portal,4,1,9,7
Portal,2,4,2,9
Portal,2,9,2,4
Portal,4,9,6,9
Portal,6,9,4,9
Portal,2,7,3,2
Portal,3,2,2,7
Portal,7,5,6,1
Portal,6,1,7,5
Portal,6,4,6,5
Portal,6,5,6,4
Portal,11,4,13,6
Portal,13,6,11,4
SignDown,12,5
Portal,11,5,11,8
Portal,11,8,11,5
